                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.74284,                 2.2586,                 1.1215,                0.33474,                0.50679,                0.35392,                0.28654,                0.73031,                 1.6673,                 1.0964,             0.00017454,             0.00017454,             0.00017454
                      2,                0.70031,                 2.0454,                 1.0778,                0.31952,                0.53864,                0.40448,                0.32956,                0.72868,                 1.6309,                 1.0968,             0.00034641,             0.00034641,             0.00034641
                      3,                0.69846,                 1.8926,                 1.0828,                0.39941,                0.59028,                0.47656,                0.39131,                0.69716,                  1.433,                 1.0552,             0.00051481,             0.00051481,             0.00051481
                      4,                0.69632,                 1.7139,                 1.0741,                0.58083,                0.58578,                0.61379,                 0.5215,                0.67964,                 1.2195,                 1.0368,             0.00051038,             0.00051038,             0.00051038
                      5,                0.69096,                 1.5492,                 1.0656,                0.55181,                0.64135,                0.65436,                0.54578,                 0.7223,                 1.1561,                 1.0779,             0.00051038,             0.00051038,             0.00051038
                      6,                0.67601,                 1.3889,                 1.0489,                0.72206,                0.67411,                0.74371,                0.63335,                0.67175,                0.91618,                 1.0276,             0.00050517,             0.00050517,             0.00050517
                      7,                0.66379,                 1.2698,                 1.0382,                0.72996,                0.69544,                0.77138,                 0.6514,                 0.6641,                0.87624,                 1.0176,             0.00049996,             0.00049996,             0.00049996
                      8,                0.65906,                 1.1851,                  1.032,                0.80558,                0.71381,                0.80875,                0.68826,                0.65508,                0.80781,                 1.0168,             0.00049476,             0.00049476,             0.00049476
                      9,                  0.647,                 1.1353,                 1.0223,                0.80323,                0.74402,                0.81777,                0.69774,                0.64792,                0.79292,                 1.0064,             0.00048955,             0.00048955,             0.00048955
                     10,                0.63212,                 1.0707,                 1.0207,                0.88783,                0.75351,                0.85549,                  0.732,                0.65016,                0.67415,                 1.0078,             0.00048434,             0.00048434,             0.00048434
                     11,                0.63889,                 1.0112,                 1.0209,                0.87349,                0.76789,                0.85777,                0.73869,                 0.6301,                0.66474,                 0.9952,             0.00047913,             0.00047913,             0.00047913
                     12,                0.62554,                0.99956,                 1.0062,                0.87935,                0.76316,                0.86097,                0.73207,                0.63902,                0.64294,                0.98971,             0.00047393,             0.00047393,             0.00047393
                     13,                0.61072,                0.93274,                 1.0054,                0.91691,                 0.7486,                0.86776,                0.74157,                0.61969,                 0.6035,                0.98484,             0.00046872,             0.00046872,             0.00046872
                     14,                0.61674,                0.89989,                 1.0138,                0.90727,                0.77787,                0.88479,                0.75917,                0.61086,                 0.6028,                0.97033,             0.00046351,             0.00046351,             0.00046351
                     15,                0.61358,                0.89401,                 1.0027,                0.90863,                0.81086,                0.89787,                0.76539,                0.61994,                 0.5589,                0.98136,              0.0004583,              0.0004583,              0.0004583
                     16,                0.60011,                 0.8631,                0.99844,                 0.9316,                0.78328,                0.89302,                0.76224,                0.61126,                0.54153,                0.97216,              0.0004531,              0.0004531,              0.0004531
                     17,                0.59499,                 0.8644,                0.99256,                0.89083,                0.82051,                0.90067,                0.76997,                0.61339,                0.54683,                0.98306,             0.00044789,             0.00044789,             0.00044789
                     18,                 0.5942,                0.81893,                0.99743,                0.94834,                 0.8011,                 0.9037,                0.77506,                0.60714,                0.51459,                0.97278,             0.00044268,             0.00044268,             0.00044268
                     19,                0.60043,                0.82809,                0.99348,                0.95465,                 0.7815,                0.90342,                0.77423,                0.60407,                0.51419,                 0.9606,             0.00043747,             0.00043747,             0.00043747
                     20,                0.59337,                0.84507,                0.98938,                0.90672,                0.82416,                0.90112,                0.76848,                0.61407,                0.50294,                0.97536,             0.00043227,             0.00043227,             0.00043227
                     21,                0.59531,                0.79951,                0.98856,                0.92901,                0.82569,                 0.9131,                0.78421,                0.59968,                0.50157,                0.97253,             0.00042706,             0.00042706,             0.00042706
                     22,                0.59782,                0.79879,                0.99483,                0.92387,                0.83793,                0.91724,                0.78391,                0.60418,                0.50079,                0.96625,             0.00042185,             0.00042185,             0.00042185
                     23,                0.58114,                0.77018,                0.98701,                0.94284,                0.82341,                0.91504,                0.78471,                0.60472,                0.48693,                0.97322,             0.00041664,             0.00041664,             0.00041664
                     24,                0.57902,                0.73967,                0.98758,                0.92752,                0.83784,                0.92256,                0.78528,                0.60547,                0.48161,                0.96607,             0.00041144,             0.00041144,             0.00041144
                     25,                0.58507,                0.74391,                0.98155,                0.91302,                0.81925,                0.90894,                0.78228,                0.59062,                0.47905,                0.95589,             0.00040623,             0.00040623,             0.00040623
                     26,                0.58748,                0.76378,                0.98466,                0.93109,                0.82686,                0.91726,                0.78375,                0.60015,                0.46202,                0.95856,             0.00040102,             0.00040102,             0.00040102
                     27,                0.57118,                0.72537,                0.98226,                0.93021,                0.84938,                0.92834,                 0.7973,                0.59344,                 0.4597,                0.95563,             0.00039581,             0.00039581,             0.00039581
                     28,                 0.5773,                 0.7172,                0.98182,                0.91945,                0.85099,                0.92396,                0.78975,                0.59068,                0.44829,                0.95167,             0.00039061,             0.00039061,             0.00039061
                     29,                0.57699,                 0.7107,                 0.9848,                0.93523,                0.87018,                0.93982,                 0.8072,                 0.5837,                0.42402,                0.95331,              0.0003854,              0.0003854,              0.0003854
                     30,                0.58587,                0.72053,                0.97974,                0.94359,                0.83649,                0.93195,                0.79422,                0.59312,                0.44527,                0.96036,             0.00038019,             0.00038019,             0.00038019
                     31,                0.56653,                0.69919,                0.97822,                0.93584,                0.84157,                0.92567,                0.79304,                0.58952,                0.45132,                0.95494,             0.00037499,             0.00037499,             0.00037499
                     32,                0.56642,                0.69075,                0.97749,                 0.9554,                0.83297,                0.92102,                0.78848,                0.59233,                0.44252,                0.95747,             0.00036978,             0.00036978,             0.00036978
                     33,                0.57251,                0.70504,                0.97846,                0.94487,                0.86374,                0.93853,                0.80633,                0.58084,                0.42943,                0.94946,             0.00036457,             0.00036457,             0.00036457
                     34,                0.56756,                0.70077,                0.97667,                0.92807,                0.85566,                 0.9327,                0.80098,                0.58203,                0.41616,                0.95408,             0.00035936,             0.00035936,             0.00035936
                     35,                0.56061,                0.66509,                 0.9774,                0.93041,                0.86058,                0.94179,                0.80329,                0.59053,                0.41117,                0.95319,             0.00035416,             0.00035416,             0.00035416
                     36,                0.56206,                0.67049,                0.97454,                0.93499,                0.86579,                0.93814,                  0.806,                0.57208,                 0.4254,                0.94256,             0.00034895,             0.00034895,             0.00034895
                     37,                0.55702,                0.66505,                0.97181,                0.94737,                0.84882,                0.93527,                0.80733,                0.58012,                0.41649,                0.94496,             0.00034374,             0.00034374,             0.00034374
                     38,                0.55481,                0.65678,                0.97114,                0.91396,                0.88931,                0.94323,                 0.8123,                0.56882,                0.39528,                0.94352,             0.00033853,             0.00033853,             0.00033853
                     39,                0.56062,                0.64081,                0.96847,                0.93029,                0.87128,                0.94096,                0.80055,                0.59069,                0.41628,                0.95647,             0.00033333,             0.00033333,             0.00033333
                     40,                0.55516,                  0.642,                0.96744,                0.94331,                0.88108,                0.94435,                0.81144,                0.57777,                0.40075,                0.94815,             0.00032812,             0.00032812,             0.00032812
                     41,                0.55845,                0.64895,                0.97196,                0.91377,                 0.8866,                0.94134,                0.81075,                0.56969,                 0.3997,                0.93956,             0.00032291,             0.00032291,             0.00032291
                     42,                0.54961,                 0.6331,                0.96951,                0.94208,                0.86876,                0.94152,                0.80732,                0.57489,                0.40028,                0.94489,              0.0003177,              0.0003177,              0.0003177
                     43,                0.54457,                 0.6287,                0.96518,                0.94972,                0.86686,                0.94131,                0.81131,                0.57388,                0.39038,                0.93855,              0.0003125,              0.0003125,              0.0003125
                     44,                0.54754,                0.63254,                0.95947,                0.97185,                0.85709,                0.95039,                 0.8155,                0.57771,                0.37936,                0.94422,             0.00030729,             0.00030729,             0.00030729
                     45,                0.55393,                0.61836,                 0.9767,                0.92767,                0.88016,                0.94174,                0.81209,                0.56784,                0.39386,                0.93907,             0.00030208,             0.00030208,             0.00030208
                     46,                 0.5503,                0.62074,                0.97055,                0.93261,                0.87593,                  0.944,                0.81447,                0.56641,                0.38865,                0.93741,             0.00029687,             0.00029687,             0.00029687
                     47,                 0.5396,                0.62196,                0.96301,                0.93973,                 0.8802,                0.94716,                0.81275,                0.56662,                0.38707,                0.93777,             0.00029167,             0.00029167,             0.00029167
                     48,                0.54145,                0.61113,                0.96308,                0.92629,                0.88028,                0.93895,                0.80717,                 0.5806,                0.39094,                0.94222,             0.00028646,             0.00028646,             0.00028646
                     49,                0.53761,                0.59054,                 0.9651,                0.94543,                0.89894,                0.95015,                0.81653,                0.57262,                 0.3795,                0.94213,             0.00028125,             0.00028125,             0.00028125
                     50,                0.53512,                0.59372,                0.95968,                0.95746,                0.86995,                0.94663,                0.81293,                0.57782,                0.38619,                 0.9414,             0.00027604,             0.00027604,             0.00027604
                     51,                0.53133,                0.59541,                0.96164,                 0.9266,                0.88264,                0.94585,                0.81755,                0.56431,                0.37574,                0.94405,             0.00027084,             0.00027084,             0.00027084
                     52,                0.53269,                0.58928,                0.95957,                0.95309,                0.87485,                0.94871,                0.81479,                0.57846,                0.37913,                0.94572,             0.00026563,             0.00026563,             0.00026563
                     53,                0.52891,                0.57898,                0.95872,                0.94521,                0.88824,                0.94636,                0.81888,                0.56051,                0.36611,                0.93656,             0.00026042,             0.00026042,             0.00026042
                     54,                0.53327,                0.58537,                0.95556,                0.93136,                0.89628,                0.95005,                0.82126,                0.56448,                 0.3658,                0.93508,             0.00025522,             0.00025522,             0.00025522
                     55,                0.53341,                0.57085,                0.96105,                0.93853,                0.87864,                0.94672,                 0.8193,                0.55702,                0.36658,                0.93521,             0.00025001,             0.00025001,             0.00025001
                     56,                0.53318,                0.58296,                0.95784,                0.93399,                 0.8938,                0.94787,                0.81775,                0.56716,                0.36802,                0.94066,              0.0002448,              0.0002448,              0.0002448
                     57,                0.53652,                0.58803,                 0.9602,                0.95277,                 0.8807,                0.95316,                0.81906,                 0.5656,                0.35834,                0.94001,             0.00023959,             0.00023959,             0.00023959
                     58,                0.52793,                0.57674,                   0.96,                0.94112,                0.88217,                0.94615,                0.81871,                0.56359,                0.35943,                0.93999,             0.00023439,             0.00023439,             0.00023439
                     59,                0.52976,                0.56453,                0.95327,                0.93538,                0.90203,                0.94848,                0.82214,                0.56562,                0.35259,                0.94004,             0.00022918,             0.00022918,             0.00022918
                     60,                0.54337,                0.58628,                0.96791,                 0.9362,                0.88755,                0.94579,                0.82042,                0.55748,                0.37218,                0.93627,             0.00022397,             0.00022397,             0.00022397
                     61,                0.52177,                0.55157,                0.95342,                0.94148,                0.89452,                0.95463,                0.82798,                0.55301,                0.34912,                0.93425,             0.00021876,             0.00021876,             0.00021876
                     62,                0.51463,                0.55594,                 0.9479,                0.95268,                0.87302,                0.94135,                0.81689,                0.55734,                0.36156,                0.92927,             0.00021356,             0.00021356,             0.00021356
                     63,                0.52498,                0.55448,                0.95683,                0.93761,                0.90511,                0.95257,                0.82307,                0.55707,                0.35385,                0.93234,             0.00020835,             0.00020835,             0.00020835
                     64,                0.51297,                0.54448,                0.95291,                0.92688,                0.91785,                0.95352,                0.82891,                0.55322,                0.34871,                0.93096,             0.00020314,             0.00020314,             0.00020314
                     65,                0.51447,                0.53644,                0.95123,                0.93421,                0.89508,                0.95022,                0.82556,                0.55812,                0.34795,                0.93437,             0.00019793,             0.00019793,             0.00019793
                     66,                0.52826,                0.55533,                0.95736,                0.93813,                0.90682,                0.95339,                0.82329,                0.55844,                0.35275,                0.93781,             0.00019273,             0.00019273,             0.00019273
                     67,                0.51691,                0.53566,                0.95144,                0.95741,                0.89049,                0.95433,                0.82924,                0.55512,                0.34812,                0.93131,             0.00018752,             0.00018752,             0.00018752
                     68,                0.51773,                0.54692,                0.94874,                0.93797,                0.91063,                0.95289,                0.82565,                0.56169,                0.34919,                0.93586,             0.00018231,             0.00018231,             0.00018231
                     69,                0.51677,                 0.5451,                0.95096,                0.94215,                0.89777,                0.95117,                  0.824,                0.56376,                0.34668,                0.93812,              0.0001771,              0.0001771,              0.0001771
                     70,                0.51134,                0.52268,                0.94951,                0.93176,                0.91181,                0.95318,                0.82413,                0.55147,                 0.3439,                0.92706,              0.0001719,              0.0001719,              0.0001719
